date_week,x1,x2,t,y
2023-01-01,2091.8172704999492,3552.7918691055615,0,6899.420951689766
2023-01-08,2835.3455897858653,5173.875767664985,1,8837.366833672464
2023-01-15,1837.2155803071378,7117.6088637787325,2,8565.889778462106
2023-01-22,1645.0704225011007,4172.561608718746,3,8638.317396986053
2023-01-29,3079.2553295549005,2455.686120946144,4,9105.059928349903
2023-02-05,1753.3735410905072,4617.817520355168,5,8737.819295207575
2023-02-12,2346.0050789740476,4052.21374285312,6,9235.80768192581
2023-02-19,2189.4860982937416,2462.895990271905,7,8862.350875575967
2023-02-26,3077.4135916239215,3970.56002053476,8,9263.817145533883
2023-03-05,1439.2205046527054,3919.0189810209063,9,9459.045111108648
2023-03-12,3795.583854166355,2214.4025738008318,10,9189.995334485255
2023-03-19,1172.598283198885,1516.3600136462674,11,8071.291576339963
2023-03-26,2452.6530610916666,3685.6909317276777,12,9616.172471061112
2023-04-02,2258.3019704900903,938.8659043082351,13,9669.997613222517
2023-04-09,1088.9723316048567,752.8902771784126,14,8098.053226324579
2023-04-16,2595.074745271101,2943.9067388752674,15,8252.660828856004
2023-04-23,1523.8466941626878,3615.607443815654,16,8646.832698994136
2023-04-30,812.7769330534637,2927.8074589060793,17,8148.143974857464
2023-05-07,2822.125350557911,3164.1855392615294,18,8897.572653742853
2023-05-14,565.8036582831672,3572.565931295283,19,7895.267917569073
2023-05-21,946.6755230611062,6146.6887629513685,20,8398.692685335063
2023-05-28,1821.8915036572614,4222.274416456598,21,8736.095304115559
2023-06-04,3063.7906199611484,4134.799327492054,22,8630.866937674176
2023-06-11,2705.7590144461606,2780.0508580138994,23,9169.051711982018
2023-06-18,2068.474883321064,2856.849726427778,24,9255.09694684454
2023-06-25,404.4917211309991,2076.7190443597165,25,7633.209908909877
2023-07-02,1130.1826815305283,3097.1356298333517,26,7395.806530759117
2023-07-09,1336.0964041611592,895.404439074642,27,7232.176157791154
2023-07-16,780.1499816813416,6165.69158023916,28,7482.094570274032
2023-07-23,301.3781565209109,1140.387995034687,29,5892.892702026016
2023-07-30,1885.733170274336,4216.375829491131,30,7474.623715146097
2023-08-06,2763.791982069872,5653.753878591572,31,8007.978055456725
2023-08-13,1255.7842882557861,4209.501459781436,32,8229.252158925805
2023-08-20,3037.80209071656,9575.218714885405,33,8346.53520272174
2023-08-27,502.6627630801161,262.41530613396105,34,7703.608178246605
2023-09-03,739.1566494942508,1600.0012980703575,35,6272.415648918313
2023-09-10,1857.3820833111358,5590.702523178512,36,7491.484317845391
2023-09-17,1173.696630661982,723.449195616325,37,6916.378953465319
2023-09-24,2611.7788002079164,1172.2068189009024,38,6935.787449493476
2023-10-01,2328.6429674712244,3414.758682278853,39,7494.085337342233
2023-10-08,1240.529341986777,2432.956709668775,40,7401.968189816296
2023-10-15,550.4614517028434,3266.000530865778,41,6425.680708564542
2023-10-22,1131.1498314925864,2592.2142564799897,42,6116.371495124033
2023-10-29,2367.534628249262,2772.609523895716,43,7329.023626429242
2023-11-05,2681.705710438997,1277.388303667547,44,7230.14611208782
2023-11-12,1177.742086495146,2707.3606678433534,45,7086.941597191425
2023-11-19,299.5387853476188,1691.5851884875642,46,6342.3094020788085
2023-11-26,475.85798770935656,1885.0832610110435,47,5593.400911326794
2023-12-03,2237.8790919448184,4176.639304015605,48,7032.531023388572
2023-12-10,1224.5783966535578,686.9670529644541,49,7295.236775983559
2023-12-17,1247.7426017996768,146.50977616774497,50,6695.830959345754
2023-12-24,728.5723948477469,3966.8641810321674,51,6256.86249756165
2023-12-31,716.4420257106632,2709.3847982243965,52,7223.82204433362
2024-01-07,3003.89506161406,5649.599446478946,53,8625.950926290298
2024-01-14,2292.765226962453,1200.62387659637,54,8245.542994432044
2024-01-21,1011.2764842109361,2160.507919111695,55,7597.075368125376
2024-01-28,1761.530448586842,2503.8344944777,56,8456.154676466733
2024-02-04,1985.4578200659923,1415.462742056296,57,8391.83783602967
2024-02-11,4707.687757843129,1068.0884245236584,58,9708.57566346252
2024-02-18,663.7604579979297,4107.917939070561,59,8720.674870258408
2024-02-25,1967.1194755629604,620.6652426765245,60,8557.379827970311
2024-03-03,2993.9696980520403,912.6868235823001,61,8644.884157029115
2024-03-10,4359.425016544677,2104.3369320862553,62,9501.278288014351
2024-03-17,969.6664985396302,4445.402503707052,63,9143.805713370086
2024-03-24,1212.3756353189176,1495.2767560304728,64,8846.627315087944
2024-03-31,2628.46619202548,1339.3109663741714,65,8626.530259848625
2024-04-07,397.67372962528265,2007.73529905414,66,7828.9354940683725
2024-04-14,2105.059008124994,3050.4996220965913,67,8471.210182056091
2024-04-21,5801.799770701608,1767.0009924559502,68,9797.358707605414
2024-04-28,2260.953745507029,4842.560001782206,69,9918.11426872127
2024-05-05,151.37741205038094,4983.20118859119,70,8389.521525631959
2024-05-12,822.0422322338446,2104.251093649205,71,7893.098136893292
2024-05-19,994.7614078030797,7934.198833578845,72,8368.32202955636
2024-05-26,3456.362871582421,2460.9920848295874,73,9068.12337068449
2024-06-02,1470.1437829329511,4869.126939045155,74,9055.694664789136
2024-06-09,304.77053590882355,2988.5762582327434,75,7065.39541618982
2024-06-16,1598.1934166180417,2947.915526868752,76,7751.259207248776
2024-06-23,1840.5709303736128,478.18388082745594,77,7608.9477909224115
2024-06-30,1101.6065581876965,840.4039063278252,78,6569.2640848680085
2024-07-07,705.39973354204,1842.5241491641987,79,6518.602558714309
2024-07-14,6201.276643868302,4957.471003743495,80,8591.385717736008
2024-07-21,3000.4186517343287,3019.887873039674,81,8519.531958545867
2024-07-28,3181.791648285165,1856.1887567507706,82,8647.032115337139
2024-08-04,1472.516231280762,3640.8596685309453,83,7792.3026115610355
2024-08-11,956.2009960666456,4832.653994445028,84,7128.012902453906
2024-08-18,1145.5867583598513,2344.809268010852,85,7066.847375190103
2024-08-25,501.35682140898496,2760.19527553251,86,6781.415376353217
2024-09-01,4649.403416917936,2502.685754133126,87,7690.441113976868
2024-09-08,1518.1490247250763,2232.201163382017,88,7163.2770160608
2024-09-15,3985.16073491955,1189.0241010079765,89,7888.974127353042
2024-09-22,1190.4582521305517,1107.8589611772145,90,6916.0396785217845
2024-09-29,2283.727434998374,3624.628908383975,91,7550.646288418864
2024-10-06,1914.589422903668,4895.8770845490935,92,7517.300686805231
2024-10-13,450.86194990415686,1853.2654450148514,93,6827.52251181291
2024-10-20,5029.16735864487,1818.7223764488635,94,7634.61900727179
2024-10-27,1219.3039815486682,341.77269035243944,95,7089.089315084499
2024-11-03,607.070355155127,267.80419311619306,96,6125.4627819124935
2024-11-10,2642.7929193682176,5768.31806793165,97,7268.715298872349
2024-11-17,1660.0631058153683,1259.5624030758338,98,6880.885702323636
2024-11-24,2141.5626840558307,10011.417301504105,99,8382.573711962536
2024-12-01,1786.3678115949438,1461.0525933547754,100,7824.844851888531
2024-12-08,173.75485904707284,496.3836524671512,101,6451.161816893184
2024-12-15,797.8726277836515,2517.7857077919,102,6781.129106594386
2024-12-22,770.599657803392,4074.334756280292,103,7372.4344706891725
2024-12-29,3150.7600261525017,3761.6913705894744,104,7732.056615173066
2025-01-05,1706.5253408908252,4361.2721519539455,105,7962.615847496943
2025-01-12,2380.229068555228,982.4408732291538,106,8141.7610565439645
2025-01-19,1278.4230740495007,5676.032324932278,107,8869.042168999098
2025-01-26,2462.363765694313,5901.37168407057,108,9066.436785462773
2025-02-02,1475.0522129255412,6074.906775930821,109,9116.064449417941
2025-02-09,1394.0485975150975,2831.864025307229,110,8320.86732752051
2025-02-16,1905.1725474730185,1738.646839228595,111,8367.537471890488
2025-02-23,1786.23919669174,1612.874751393773,112,8741.221106934909
2025-03-02,7486.997533023131,493.2979757989965,113,9618.321904860051
2025-03-09,789.9880364940022,1488.7423352485985,114,8978.824617296585
2025-03-16,401.3423680296279,129.867481044441,115,7612.926392249645
2025-03-23,2108.2150161450263,419.8531308237803,116,8033.982046326945
2025-03-30,891.4927762846519,2810.1974969083376,117,8000.857669770059
2025-04-06,147.435975405662,1904.6874264793819,118,7417.842359677291
2025-04-13,636.9342250539668,2720.578077144988,119,7608.847554701199
2025-04-20,6460.779162916662,3858.2362693879763,120,9268.601708800892
2025-04-27,771.597103573192,3100.7259260982837,121,8289.413201962332
2025-05-04,271.51887411602934,2911.1260050261485,122,8307.34462397099
2025-05-11,6203.686745381279,2179.4333220054496,123,9909.626869183423
2025-05-18,613.8511348540763,1219.204036210217,124,8161.2211549255735
2025-05-25,8933.595095437096,729.4064007980572,125,8846.670256199228
2025-06-01,1235.0291011906031,1522.4823083217225,126,8682.8677541161
2025-06-08,5042.7446682528725,2207.9033131741917,127,9284.02010659953
2025-06-15,1369.6447321390413,2426.9930363772582,128,8948.955488829637
2025-06-22,2293.312082269862,4367.772739077639,129,8673.195879653233
2025-06-29,1499.8027360506928,2056.516997808014,130,7896.557107632259
2025-07-06,1377.7069874377275,3471.5437080516313,131,7526.5819976706725
2025-07-13,1984.7233535676266,572.6612577222917,132,7596.617500221488
2025-07-20,2352.5443744030913,2839.700087854218,133,7728.012556981334
2025-07-27,1875.4855480676456,2693.548518663265,134,7373.921461983812
2025-08-03,1736.2360644000912,5677.345840761762,135,8424.105442609545
2025-08-10,897.9102268686984,1906.0457519249678,136,7653.533227044086
2025-08-17,1544.1986860205532,1841.6173936648327,137,7411.132507387521
2025-08-24,4634.7433613791945,3877.341009211047,138,7912.415394370842
2025-08-31,862.9032085748582,787.3678773481848,139,7417.6863731881695
2025-09-07,2027.0652799445004,2785.2752230983533,140,7460.204199833534
2025-09-14,3725.8506849721334,747.9574943094769,141,7661.545457084934
2025-09-21,2366.5506234319796,7415.780301346307,142,8336.339838447706
2025-09-28,3173.584501463472,1647.9565961788971,143,8088.053008622914
2025-10-05,604.8442521092569,699.3615138966077,144,7051.412935641292
2025-10-12,2030.8325395663949,1513.2316755919774,145,7164.523704498655
2025-10-19,1317.214431305958,2797.92712539918,146,7004.111784861631
2025-10-26,1362.0704869892031,3394.3503011577714,147,6463.657908730991
2025-11-02,4379.525794070917,5477.865785623072,148,8317.38641223981
2025-11-09,1379.2124563046823,1361.4873710819825,149,7461.315671354915
2025-11-16,2078.74139028523,4001.7028530267003,150,7416.58812276826
2025-11-23,271.9066903370855,420.354981379916,151,7158.750578991783
2025-11-30,5039.106592969327,918.7282079574221,152,8559.343787732307
2025-12-07,3049.0892012482473,590.1177358801707,153,8257.789618796987
2025-12-14,1588.7442188624516,1158.0297188221784,154,7572.380418044521
2025-12-21,1271.099261181775,3875.8797765091185,155,8069.486025998085
