date_week,contrib_x1_true,contrib_x2_true,base_true
2023-01-01,2054.096955343569,1029.517036764067,4000.0
2023-01-08,2751.822989853876,1553.760844908011,4096.429344204258
2023-01-15,2621.329850924424,1885.3031225785583,4191.452531430046
2023-01-22,2486.37963565539,1858.621549505353,4283.683909634028
2023-01-29,2935.661627822659,1716.9457285886494,4371.778537635015
2023-02-05,2677.9732113560394,1791.2940667051955,4454.451797384924
2023-02-12,2771.1588116817516,1792.8098556314444,4530.498126592636
2023-02-19,2754.9843624557575,1668.5936187327468,4598.808598536881
2023-02-26,3013.2452347794315,1715.67631470439,4658.3870927149255
2023-03-05,2603.535575361058,1738.3519232840188,4708.364820522568
2023-03-12,3147.9817359950566,1606.1764200955956,4748.012994148332
2023-03-19,2585.4381268391676,1432.934094838801,4776.753453940842
2023-03-26,2773.6800042733976,1565.0442690057027,4794.167099278443
2023-04-02,2778.874303003921,1326.3249244364952,4800.0
2023-04-09,2316.7833808154824,1108.6835258654542,4794.167099278443
2023-04-16,2737.964905251373,1318.9938818498447,4776.753453940842
2023-04-23,2490.0965211858374,1501.8683765187488,4748.012994148332
2023-04-30,2001.9829526807666,1523.6630866063292,4708.364820522568
2023-05-07,2735.3185890440664,1560.8441242905376,4658.3870927149255
2023-05-14,2009.0821825448922,1621.3935490638532,4598.808598536881
2023-05-21,1843.9315951065441,1850.394620892942,4530.498126592636
2023-05-28,2284.0803022672794,1840.21099187753,4454.451797384924
2023-06-04,2879.2552605509554,1828.1548254339982,4371.778537635015
2023-06-11,2954.9973498363606,1720.6114330031605,4283.683909634029
2023-06-18,2794.914205499349,1652.924715331378,4191.452531430046
2023-06-25,1954.6079970722594,1530.5844679022423,4096.429344204258
2023-07-02,1939.008142943718,1557.9959364359513,3999.9999999999995
2023-07-09,2056.656629905545,1314.5498364121233,3903.570655795742
2023-07-16,1752.296432069335,1736.6736395441742,3808.547468569954
2023-07-23,1201.4136179186708,1494.3644753935407,3716.3160903659714
2023-07-30,2151.1422361264013,1645.9428057615207,3628.2214623649857
2023-08-06,2751.0904631742396,1828.478574506253,3545.5482026150758
2023-08-13,2379.3377121415824,1826.065069490046,3469.5018734073637
2023-08-20,2895.4161231126004,2102.1794982875062,3401.1914014631193
2023-08-27,2089.4034193569987,1772.2255682686766,3341.612907285075
2023-09-03,1739.54841341594,1572.3542653595432,3291.6351794774323
2023-09-10,2271.5455865405324,1791.7739754123522,3251.987005851668
2023-09-17,2100.1850213935536,1497.127306875239,3223.2465460591584
2023-09-24,2685.4981882898887,1305.1705348414641,3205.832900721557
2023-10-01,2768.18709853266,1472.6794044184908,3200.0
2023-10-08,2381.708533304644,1450.6711047406145,3205.832900721557
2023-10-15,1768.6565880900932,1530.9150857012708,3223.2465460591584
2023-10-22,1867.1435078446468,1504.8297761786469,3251.987005851668
2023-10-29,2533.9978285117504,1508.6594663832932,3291.635179477432
2023-11-05,2830.7378521343935,1328.522281106106,3341.6129072850745
2023-11-12,2388.4245855994563,1400.0278917280134,3401.1914014631193
2023-11-19,1588.585137963308,1308.6987216136736,3469.5018734073637
2023-11-26,1282.2137125212616,1277.334660995112,3545.5482026150753
2023-12-03,2345.9513657248795,1543.055697094911,3628.221462364985
2023-12-10,2161.9265516467267,1272.3740833132035,3716.3160903659714
2023-12-17,2094.0666845646756,950.032415062029,3808.5474685699537
2023-12-24,1734.3835858570026,1388.331558455077,3903.570655795741
2023-12-31,1554.708022546016,1433.660810805163,4000.0000000000005
2024-01-07,2708.3149480338443,1739.4957074699216,4096.429344204258
2024-01-14,2764.839023779602,1503.4138864333402,4191.452531430046
2024-01-21,2270.5670011493094,1437.8735206595109,4283.683909634028
2024-01-28,2395.7380285350464,1437.8957414023691,4371.778537635015
2024-02-04,2536.6924050205557,1295.8884468560602,4454.451797384924
2024-02-11,3322.7924865046693,1140.5043655599902,4530.498126592636
2024-02-18,2517.0230095483444,1478.7866825557014,4598.808598536881
2024-02-25,2574.2182498317834,1208.4635430449985,4658.387092714925
2024-03-03,2935.9878669722107,1050.6098485669058,4708.364820522568
2024-03-10,3345.5367776762023,1162.6957560295807,4748.012994148332
2024-03-17,2654.8650393323232,1524.661659722474,4776.753453940842
2024-03-24,2307.41935432188,1369.5233589180634,4794.167099278443
2024-03-31,2746.669026430051,1236.2581090097597,4800.0
2024-04-07,1913.833243756944,1251.5573929161737,4794.167099278443
2024-04-14,2435.554796546003,1402.6328828428395,4776.753453940842
2024-04-21,3491.171409344596,1320.9337877587893,4748.012994148332
